"Name","Count","gender"
"A","84","m"
"A.J.","3","m"
"AABAN","104","m"
"AABID","35","m"
"AADAM","1","m"
"AADAN","3","m"
"AADARSH","17","m"
"AADEN","26","m"
"AADESH","4","m"
"AADHAM","9","m"
"AADHAV","18","m"
"AADHEEN","3","m"
"AADHI","3","m"
"AADHITHYA","3","m"
"AADHVIK","6","m"
"AADI","139","m"
"AADIDEV","3","m"
"AADIL","549","m"
"AADIT","43","m"
"AADITYA","114","m"
"AADVIK","35","m"
"AADYA","7","m"
"AAHAAN","7","m"
"AAHAD","14","m"
"AAHAN","43","m"
"AAHIL","629","m"
"AAJAY","3","m"
"AAKARSH","0","m"
"AAKASH","105","m"
"AAKIF","18","m"
"AALIM","10","m"
"AALIYAAN","3","m"
"AALIYAN","19","m"
"AAMAN","16","m"
"AAMAR","6","m"
"AAMARI","5","m"
"AAMER","11","m"
"AAMIL","12","m"
"AAMIR","568","m"
"AANAV","8","m"
"AANAY","6","m"
"AANIS","3","m"
"AAQIB","136","m"
"AAQIL","31","m"
"AARAF","8","m"
"AARAIZ","3","m"
"AARAN","438","m"
"AARAV","1","m"
"AAREN","38","m"
"AAREZ","10","m"
"AARI","13","m"
"AARIAN","55","m"
"AARIB","65","m"
"AARIC","3","m"
"AARIF","26","m"
"AARIN","35","m"
"AARIS","10","m"
"AARISH","46","m"
"AARIT","5","m"
"AARIV","25","m"
"AARIYAN","70","m"
"AARIZ","480","m"
"AARJAN","3","m"
"AARNAV","82","m"
"AARO","3","m"
"AARON","31","m"
"AARONAS","6","m"
"AARONDEEP","77","m"
"AARONJAMES","49","m"
"AARONJAY","7","m"
"AARONJIT","3","m"
"AARONJOHN","3","m"
"AARONJUNIOR","16","m"
"AARONLEE","6","m"
"AARONVEER","14","m"
"AAROON","9","m"
"AARRON","208","m"
"AARSH","0","m"
"AARUJAN","4","m"
"AARUN","52","m"
"AARUSAN","3","m"
"AARUSH","349","m"
"AARUV","4","m"
"AARVIN","4","m"
"AARY","7","m"
"AARYA","49","m"
"AARYAN","923","m"
"AARYAV","13","m"
"AARYN","6","m"
"AARYUN","3","m"
"AARYZ","3","m"
"AASHIR","69","m"
"AASHISH","25","m"
"AASHMAN","3","m"
"AASIF","6","m"
"AASIM","109","m"
"AATHAVAN","11","m"
"AATHIRAN","9","m"
"AATHISH","3","m"
"AATIF","47","m"
"AATISH","4","m"
"AAVAI","4","m"
"AAVISH","3","m"
"AAYAAN","39","m"
"AAYAN","1","m"
"AAYANSH","24","m"
"AAYDEN","9","m"
"AAYUSH","239","m"
"AAZAN","3","m"
"AAZIL","6","m"
"ABAAN","72","m"
"ABAAS","31","m"
"ABAN","36","m"
"ABANOUB","3","m"
"ABAS","37","m"
"ABASS","33","m"
"ABAYOMI","21","m"
"ABBA","3","m"
"ABBAAS","27","m"
"ABBAS","956","m"
"ABBASS","3","m"
"ABD","137","m"
"ABDAAL","3","m"
"ABDAL","10","m"
"ABDALLA","155","m"
"ABDALLAH","359","m"
"ABDALRAHMAN","10","m"
"ABDARAHMAN","3","m"
"ABDEL","125","m"
"ABDELAZIZ","6","m"
"ABDELKADER","4","m"
"ABDELKARIM","6","m"
"ABDELLAH","29","m"
"ABDELMALEK","9","m"
"ABDELMOUMEN","3","m"
"ABDELRAHIM","3","m"
"ABDELRAHMAN","60","m"
"ABDELRAHMANE","3","m"
"ABDERAHMAN","8","m"
"ABDERAHMANE","4","m"
"ABDERRAHMAN","3","m"
"ABDERRAHMANE","4","m"
"ABDI","263","m"
"ABDIASIS","3","m"
"ABDIAZIZ","40","m"
"ABDIFATAH","70","m"
"ABDIHAFID","11","m"
"ABDIHAKIM","18","m"
"ABDIHAKIN","3","m"
"ABDIHAMID","10","m"
"ABDIKADIR","7","m"
"ABDIKARIM","43","m"
"ABDIKARIN","3","m"
"ABDIKHALIQ","3","m"
"ABDILADIF","4","m"
"ABDILAHI","22","m"
"ABDILLAHI","56","m"
"ABDIMAJID","8","m"
"ABDIMAJIID","3","m"
"ABDIMALIK","96","m"
"ABDINASIR","63","m"
"ABDINUR","3","m"
"ABDIQANI","32","m"
"ABDIRAHIIM","3","m"
"ABDIRAHIM","72","m"
"ABDIRAHMAAN","7","m"
"ABDIRAHMAN","1","m"
"ABDIRASHID","27","m"
"ABDIRAXMAN","3","m"
"ABDIRAZAQ","3","m"
