Name,Count
AABIDAH,7
AABISH,3
AADHIRA,8
AADHYA,158
AADILA,3
AADILAH,3
AADITRI,6
AADYA,149
AAEESHA,24
AAFIA,73
AAFIYA,47
AAFIYAH,86
AAFREEN,63
AAFRIN,9
AAHANA,73
AAHNA,17
AAIDAH,7
AAILA,134
AAILYAH,3
AAIMA,127
AAINA,9
AAIRA,161
AAIRAH,175
AAISHA,651
AA'ISHA,6
AAISHAH,271
AA'ISHAH,18
AAIZA,74
AAIZAH,33
AAKIFA,13
AAKIFAH,158
AAKRITI,3
AALA,46
AALAA,15
AALAYA,3
AALAYAH,70
AALEAH,3
AALEEN,6
AALEIGHA,10
AALEYAH,162
AALIA,347
AALIAH,169
AALIMAH,28
AALISHA,13
AALIYA,582
AALIYAH,8,126
AALIYAH-GRACE,7
AALIYAH-JADE,4
AALIYAH-LOUISE,3
AALIYAH-MAE,19
AALIYAH-MAI,7
AALIYAH-MARIE,3
AALIYAH-MAY,9
AALIYAH-RAE,4
AALIYAH-ROSE,61
AALIYHA,30
AALLIYAH,3
AALYA,10
AALYAH,3
AALYIAH,3
AAMAAL,3
AAMAL,8
AAMANAH,3
AAMANEE,15
AAMANI,30
AAMAYA,10
AAMENA,123
AAMENAH,59
AAMILAH,148
AAMINA,1,078
AAMINAH,1,730
AAMIRA,132
AAMIRAH,164
AAMIYAH,3
AAMNA,420
AAMNAH,62
AANA,13
AANAH,3
AANAYA,21
AANCHAL,8
AANIA,47
AANIKA,10
AANISAH,59
AANISHA,3
AANIYA,44
AANIYAH,48
AANVI,10
AANYA,573
AARA,59
AARABI,11
AARADHANA,3
AARADHYA,109
AARALYN,3
AARANI,13
AARATHANA,3
AARAVI,6
AARIA,88
AARIAH,23
AARIANA,18
AARIBAH,4
AARIFA,3
AARIFAH,65
AARIKA,16
AARINI,9
AARISHA,3
AARIYA,125
AARIYAH,19
AARNA,180
AAROHI,81
AARTHI,7
AARTI,53
AARUHI,11
AARUSHA,3
AARUSHI,134
AARVI,50
AARYA,437
AARYAHI,3
AARYANA,3
AARYANNA,3
AARZO,3
AARZOO,35
AARZU,3
AASHA,32
AASHI,96
AASHIKA,10
AASHIYANA,3
AASHNA,71
AASHNI,33
AASHRITHA,4
AASHRIYA,6
AASHVI,40
AASIA,60
AASIYA,196
